username,content,date,userlocation,likecount,retweetcount,followers,url
papry_q,"Imo poprzedni tweet to wierze w naszych.
Polska piłkarska (zresztą nie tylko piłkarska) jest przepiękna i byłoby to coś niesamowite jakby przeszli.
DO BOJU POLSKO!

#krycha #POLSVK",2021-06-14 21:36:21+00:00,,2,0,54,https://twitter.com/papry_q/status/1404553320312758276
GoniecSport,"Polscy piłkarze kompromitują się w meczu #POLSVK na #EURO2020 , a tymczasem polskie piłkarki gromią Czeszki 5:0. Panie nie zawodzą 😎 https://t.co/YEycQEto4b",2021-06-14 21:35:54+00:00,"Warszawa, Polska",11,0,85,https://twitter.com/GoniecSport/status/1404553207003631618
bialymurzyn1,"Jeżeli ten pierwszy mecz na wielkim turnieju jest zawsze dla nas tak problematyczny, to może zaczynajmy granie od drugiego? #POLSVK #POL #EURO2020",2021-06-14 21:35:54+00:00,,0,0,46,https://twitter.com/bialymurzyn1/status/1404553205472759809
dorota571,"Nic się nie stało przecież. @pzpn_pl  macie numer do gościa?
#POLSVK #EURO2020 #ŁaczyNasPiłka #HejtPark #zibitop https://t.co/bAfuwvIKqc",2021-06-14 21:35:47+00:00,,1,0,387,https://twitter.com/dorota571/status/1404553179006636033
FCBSOCIO,"Plus Krycha...
Taka trójka i katastrofa gotowa.
#POLSVK #EURO2020 #POL https://t.co/zTwwNbzMRx",2021-06-14 21:35:34+00:00,"Mars, PA",0,0,227,https://twitter.com/FCBSOCIO/status/1404553123226697728
Beardguy16,To była taktyczna porażka żeby zaskoczyć rozluźnioną Hiszpanie. #EURO2020 #POLSLO #ŁaczyNasPiłka #HejtPark #POLSVK #taktyka #Szczesny #pzpn,2021-06-14 21:35:02+00:00,,0,0,8,https://twitter.com/Beardguy16/status/1404552990560866305
BlonnDeIIa,"Niejeden zespół LZS lepiej kopie piłkę niż drużyna narodowa... 

#POLSVK",2021-06-14 21:34:11+00:00,,4,0,7430,https://twitter.com/BlonnDeIIa/status/1404552772930969601
nostromo242,"Wiadomo
#POLSVK https://t.co/a6hNGklmHp",2021-06-14 21:33:39+00:00,,1,0,206,https://twitter.com/nostromo242/status/1404552638688116745
TEHOL6,"Obawiam się, że nasi piłkarze za bardzo napatrzyli się na sukcesy rządu i teraz będą oczekiwać powitania z kwiatami.#POLSVK #POL",2021-06-14 21:33:22+00:00,"Wrocław, Polska",1,0,1507,https://twitter.com/TEHOL6/status/1404552571134611460
JacekCzaplewski,"""Jesteśmy reprezentacją z najlepszym napastnikiem na świecie, któremu nie ma kto podać piłki""

A to zgrabne #POLSVK",2021-06-14 21:31:45+00:00,,1,0,810,https://twitter.com/JacekCzaplewski/status/1404552163167199235
2Xbobo,"@Panas_K @gr3gor_g3 Wiadomo jak to będzie już dawno temu. Zmiana trenera, a do tego jeszcze kontuzje doszły. Co mecz nowy skład i czego się spodziewaliście?
Obstawiałem 2-2 no ale Krycha dostał czerwoną więc jest 1-2
Boniek Borek #EURO2020  #POLSVK",2021-06-14 21:31:43+00:00,,0,1,644,https://twitter.com/2Xbobo/status/1404552153537077250
_fearless28,Zdjęcie od mojego brata z Krakowa gdy wracał do domu po meczu #POLSVK XDDDDDD https://t.co/1Ly2bjyM6a,2021-06-14 21:31:34+00:00,"Saw Louis,OTP,5sos",3,0,474,https://twitter.com/_fearless28/status/1404552117101240329
mlanczkowski,"Największy plus meczu #POLSVK to niewątpliwie komentarz @BorekMati i Pana Węgrzyna. Dobrą robotę odwalili. Szkoda, że tego samego nie można powiedzieć o piłkarzach.

Dosadna fotka. https://t.co/o6IFJbOxFA",2021-06-14 21:30:45+00:00,Suwałki,5,1,2839,https://twitter.com/mlanczkowski/status/1404551911416737793
GreatSzu,Gorzej już nie będzie... #polsvk #strefaeuro https://t.co/HEFMOhKFaP,2021-06-14 21:30:15+00:00,"Warszawa, Polska",0,1,42,https://twitter.com/GreatSzu/status/1404551785231040514
MarioKuchta,"Szczęśliwi Ci co mają wyjeban.... na mecze! Ja tak nie mam i zawsze się łudzę, że może właśnie teraz! I potem się wkurzam i nerwy. I pieprzone grajki jesteście mi już winni kilka lat życia! Czy to się kiedyś skończy? :-) #POLSVK #EURO2020 #polska",2021-06-14 21:29:41+00:00,,1,0,161,https://twitter.com/MarioKuchta/status/1404551642251419650
