word,count
mecz,646
mieć,570
k***a,363
grać,277
pierwszy,221
krychowiak,216
słowacja,202
euro,196
piłka,183
turniej,182
móc,176
bramka,168
polski,158
reprezentacja,152
polak,152
wstyd,152
drużyna,145
polska,137
kartka,135
c**j,135
przegrać,130
raz,129
gol,123
gra,123
słowak,123
sous,123
szczęsny,121
czerwony,121
przegrywać,118
minuta,115
siebie,110
źle,104
szkoda,104
połowa,102
chyba,98
słaby,98
drugi,97
piłkarz,97
wiedzieć,96
