compound,negative,neutral,positive
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.3612,0.0,0.706,0.294
0.7469,0.027,0.824,0.148
-0.4588,0.097,0.903,0.0
0.8689,0.0,0.726,0.274
0.5332,0.058,0.816,0.125
0.4404,0.0,0.912,0.088
-0.5106,0.292,0.708,0.0
-0.4588,0.167,0.833,0.0
-0.509,0.073,0.927,0.0
-0.4717,0.381,0.619,0.0
-0.4682,0.184,0.749,0.066
0.6249,0.0,0.855,0.145
0.886,0.0,0.689,0.311
0.7003,0.0,0.721,0.279
0.2244,0.0,0.946,0.054
0.5709,0.166,0.582,0.252
-0.8687,0.232,0.735,0.033
0.3182,0.136,0.693,0.172
-0.0995,0.176,0.67,0.154
0.4883,0.14,0.656,0.204
0.0,0.0,1.0,0.0
-0.5994,0.358,0.642,0.0
-0.4003,0.055,0.945,0.0
-0.7714,0.189,0.811,0.0
-0.6808,0.192,0.752,0.056
-0.5719,0.173,0.727,0.1
0.0,0.0,1.0,0.0
0.3612,0.0,0.857,0.143
0.0,0.0,1.0,0.0
0.2263,0.0,0.853,0.147
0.0,0.0,1.0,0.0
0.1027,0.0,0.957,0.043
-0.3867,0.116,0.884,0.0
-0.4767,0.186,0.751,0.063
-0.34,0.255,0.745,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.4588,0.167,0.833,0.0
-0.7964,0.168,0.832,0.0
-0.9565,0.328,0.607,0.066
-0.7038,0.152,0.848,0.0
0.8074,0.0,0.744,0.256
-0.7906,0.349,0.603,0.047
0.5574,0.05,0.818,0.132
-0.4836,0.065,0.935,0.0
-0.5719,0.115,0.82,0.066
0.4574,0.0,0.927,0.073
-0.4019,0.256,0.616,0.128
0.6597,0.0,0.842,0.158
0.1134,0.1,0.77,0.13
-0.7964,0.249,0.684,0.066
-0.1779,0.048,0.952,0.0
-0.765,0.201,0.748,0.051
0.4215,0.0,0.682,0.318
-0.1197,0.066,0.878,0.056
0.0,0.0,1.0,0.0
0.3612,0.0,0.857,0.143
0.34,0.0,0.87,0.13
0.0,0.0,1.0,0.0
-0.1901,0.226,0.774,0.0
0.3612,0.0,0.902,0.098
-0.4588,0.073,0.927,0.0
0.8225,0.0,0.734,0.266
0.5106,0.087,0.739,0.174
-0.5661,0.343,0.657,0.0
0.3612,0.0,0.941,0.059
0.8689,0.0,0.68,0.32
0.0,0.0,1.0,0.0
0.0258,0.096,0.774,0.13
-0.4291,0.114,0.886,0.0
0.0,0.0,1.0,0.0
-0.4153,0.084,0.873,0.042
0.0,0.0,1.0,0.0
-0.8126,0.514,0.486,0.0
0.6597,0.0,0.27,0.73
0.6808,0.0,0.556,0.444
