compound,negative,neutral,positive
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.5859,0.0,0.568,0.432
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.0534,0.211,0.6,0.19
-0.2732,0.189,0.811,0.0
0.4215,0.0,0.714,0.286
0.6369,0.0,0.802,0.198
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.5859,0.0,0.441,0.559
0.0,0.0,1.0,0.0
-0.2732,0.296,0.704,0.0
0.7003,0.0,0.791,0.209
0.7955,0.131,0.502,0.366
-0.6486,0.212,0.788,0.0
-0.4404,0.112,0.888,0.0
-0.7906,0.472,0.455,0.074
0.5267,0.0,0.794,0.206
0.4019,0.0,0.847,0.153
0.2023,0.295,0.361,0.343
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.3919,0.439,0.269,0.291
0.7027,0.0,0.453,0.547
0.368,0.0,0.856,0.144
0.5106,0.0,0.233,0.767
-0.5815,0.485,0.515,0.0
0.0,0.0,1.0,0.0
-0.2732,0.135,0.798,0.067
0.0,0.0,1.0,0.0
0.5837,0.089,0.663,0.248
0.0,0.0,1.0,0.0
0.3818,0.153,0.561,0.286
0.7184,0.0,0.25,0.75
0.0,0.0,1.0,0.0
0.5106,0.0,0.538,0.462
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.534,0.141,0.651,0.207
0.2732,0.0,0.488,0.512
0.4939,0.0,0.238,0.762
0.2263,0.0,0.759,0.241
-0.4389,0.292,0.708,0.0
0.0,0.0,1.0,0.0
0.9186,0.0,0.35,0.65
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.5106,0.163,0.837,0.0
-0.6511,0.238,0.762,0.0
-0.296,0.115,0.885,0.0
-0.4404,0.42,0.58,0.0
0.0,0.0,1.0,0.0
0.6956,0.0,0.703,0.297
0.0,0.0,1.0,0.0
-0.3818,0.206,0.794,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.25,0.0,0.833,0.167
0.0,0.0,1.0,0.0
0.4215,0.0,0.641,0.359
0.0,0.0,1.0,0.0
0.4574,0.0,0.701,0.299
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.8402,0.0,0.5,0.5
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.5859,0.0,0.593,0.407
0.6884,0.0,0.658,0.342
0.0,0.0,1.0,0.0
-0.3612,0.385,0.615,0.0
0.4404,0.0,0.775,0.225
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.6571,0.686,0.314,0.0
0.0,0.0,1.0,0.0
