word,count
mecz,1328
kurwa,932
mieć,874
brawo,563
remis,492
sędzia,430
grać,392
szczęsny,382
karny,349
polak,338
szwecja,323
polski,306
polska,290
d,281
gol,278
lewy,273
hiszpania,270
koniec,265
móc,252
bramka,245
dobry,241
minuta,241
słowacja,217
słupek,217
kartka,212
piłka,204
lewandowski,190
wygrać,185
chyba,172
gra,169
chuj,163
hiszpan,162
oglądać,162
reprezentacja,153
drużyna,149
raz,149
szczęście,148
wojtek,144
wynik,142
musieć,142
