word,count
mecz,1979
mieć,1168
krychowiak,623
grać,579
słowacja,486
kurwa,478
polski,459
polak,454
euro,448
pierwszy,433
reprezentacja,416
móc,387
polska,380
dobry,345
gol,333
piłka,329
turniej,326
d,291
kartka,285
sous,283
drugi,279
bramka,276
drużyna,274
piłkarz,266
siebie,261
wiedzieć,250
czerwony,247
wygrać,244
raz,244
stać,236
koniec,230
słowak,230
rok,230
minuta,217
gra,214
połowa,211
grupa,210
chyba,208
trener,201
czas,201
