compound,negative,neutral,positive
0.4019,0.076,0.756,0.168
0.6124,0.0,0.853,0.147
0.8908,0.0,0.78,0.22
-0.4939,0.211,0.789,0.0
-0.0387,0.151,0.733,0.116
0.2732,0.0,0.811,0.189
0.7964,0.0,0.597,0.403
0.6759,0.0,0.913,0.087
0.0,0.0,1.0,0.0
-0.6027,0.204,0.693,0.104
-0.8467,0.208,0.724,0.068
-0.5661,0.22,0.78,0.0
-0.5267,0.065,0.935,0.0
-0.1894,0.142,0.73,0.129
0.6131,0.102,0.736,0.162
0.34,0.0,0.876,0.124
0.5996,0.115,0.667,0.219
0.0,0.0,1.0,0.0
0.2691,0.055,0.828,0.117
0.4497,0.0,0.924,0.076
0.0,0.0,1.0,0.0
0.8577,0.132,0.578,0.29
-0.2732,0.208,0.792,0.0
-0.714,0.398,0.602,0.0
0.9118,0.0,0.763,0.237
0.4753,0.1,0.647,0.253
0.0,0.0,1.0,0.0
-0.7506,0.314,0.686,0.0
-0.296,0.095,0.905,0.0
0.6199,0.0,0.596,0.404
0.3944,0.0,0.823,0.177
-0.0516,0.117,0.777,0.107
-0.4588,0.2,0.8,0.0
0.8625,0.0,0.685,0.315
0.7783,0.105,0.37,0.525
0.25,0.0,0.905,0.095
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.6597,0.13,0.472,0.398
-0.552,0.337,0.663,0.0
0.2716,0.0,0.89,0.11
0.4688,0.0,0.931,0.069
0.0,0.0,1.0,0.0
-0.4767,0.341,0.659,0.0
0.8934,0.085,0.635,0.279
-0.4767,0.22,0.78,0.0
0.3182,0.0,0.753,0.247
0.5267,0.082,0.709,0.209
0.0,0.0,1.0,0.0
-0.6249,0.151,0.849,0.0
0.5859,0.0,0.817,0.183
0.7424,0.091,0.65,0.26
-0.4767,0.124,0.876,0.0
0.0,0.0,1.0,0.0
0.0289,0.206,0.646,0.149
0.5106,0.0,0.708,0.292
-0.8752,0.231,0.692,0.077
0.5267,0.069,0.818,0.113
-0.6597,0.286,0.714,0.0
0.6124,0.086,0.695,0.219
-0.4939,0.16,0.84,0.0
0.0,0.0,1.0,0.0
-0.2755,0.123,0.877,0.0
0.5994,0.0,0.0,1.0
0.0,0.0,1.0,0.0
-0.2023,0.173,0.684,0.143
-0.4215,0.237,0.763,0.0
0.296,0.114,0.769,0.117
-0.2732,0.184,0.709,0.106
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.4019,0.359,0.427,0.214
-0.5574,0.235,0.765,0.0
0.0,0.0,1.0,0.0
0.5374,0.102,0.695,0.202
-0.5423,0.412,0.588,0.0
0.0,0.0,1.0,0.0
0.7876,0.028,0.787,0.185
0.34,0.0,0.821,0.179
-0.0772,0.302,0.698,0.0
0.0,0.0,1.0,0.0
0.6369,0.0,0.323,0.677
-0.1689,0.175,0.704,0.122
0.0,0.0,1.0,0.0
0.872,0.067,0.651,0.282
0.0,0.0,1.0,0.0
-0.3818,0.178,0.822,0.0
-0.0772,0.2,0.621,0.179
0.2732,0.0,0.656,0.344
0.0,0.0,1.0,0.0
-0.4588,0.111,0.889,0.0
0.7579,0.0,0.667,0.333
0.0,0.0,1.0,0.0
-0.296,0.423,0.577,0.0
0.3182,0.0,0.685,0.315
0.0,0.112,0.745,0.143
0.0,0.0,1.0,0.0
0.7717,0.0,0.511,0.489
0.782,0.0,0.671,0.329
0.0,0.0,1.0,0.0
-0.296,0.355,0.645,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.6124,0.122,0.878,0.0
-0.4767,0.608,0.392,0.0
0.1779,0.0,0.922,0.078
-0.4404,0.326,0.674,0.0
-0.2247,0.213,0.61,0.177
-0.3182,0.247,0.753,0.0
-0.5499,0.195,0.667,0.138
0.4347,0.111,0.656,0.234
-0.3164,0.277,0.494,0.228
-0.9062,0.331,0.586,0.083
0.5859,0.0,0.881,0.119
-0.0258,0.11,0.797,0.093
0.5023,0.183,0.495,0.322
-0.7537,0.286,0.586,0.128
-0.2714,0.224,0.64,0.136
0.0,0.0,1.0,0.0
0.7345,0.049,0.724,0.227
0.7512,0.0,0.861,0.139
0.4003,0.0,0.77,0.23
0.34,0.0,0.769,0.231
0.5047,0.111,0.6,0.289
0.0,0.0,1.0,0.0
0.8402,0.0,0.765,0.235
0.0,0.0,1.0,0.0
-0.4019,0.73,0.27,0.0
0.3612,0.0,0.878,0.122
0.0,0.0,1.0,0.0
0.2023,0.0,0.955,0.045
-0.8403,0.228,0.737,0.035
0.886,0.174,0.335,0.491
0.2023,0.0,0.816,0.184
0.7506,0.0,0.697,0.303
0.0258,0.2,0.588,0.212
0.7073,0.0,0.577,0.423
0.0,0.0,1.0,0.0
-0.4126,0.282,0.57,0.148
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.7184,0.222,0.778,0.0
0.9298,0.137,0.562,0.301
0.0,0.0,1.0,0.0
-0.09,0.124,0.762,0.114
0.3612,0.0,0.828,0.172
0.0,0.0,1.0,0.0
0.4404,0.0,0.838,0.162
-0.0387,0.055,0.895,0.05
-0.25,0.133,0.867,0.0
0.0,0.0,1.0,0.0
0.0772,0.0,0.909,0.091
0.0772,0.112,0.761,0.127
-0.0258,0.12,0.763,0.117
-0.6319,0.339,0.661,0.0
-0.6077,0.383,0.617,0.0
0.5423,0.08,0.749,0.171
0.0,0.0,1.0,0.0
-0.2732,0.174,0.826,0.0
0.8807,0.107,0.569,0.325
0.91,0.0,0.615,0.385
-0.8908,0.26,0.74,0.0
0.0,0.0,1.0,0.0
0.765,0.0,0.708,0.292
0.9227,0.0,0.761,0.239
-0.3818,0.148,0.852,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.3647,0.05,0.824,0.126
0.5994,0.0,0.588,0.412
0.3802,0.0,0.659,0.341
0.0,0.0,1.0,0.0
-0.3412,0.072,0.928,0.0
-0.1779,0.036,0.964,0.0
-0.4767,0.148,0.808,0.044
0.0,0.0,1.0,0.0
0.2263,0.0,0.872,0.128
-0.5531,0.533,0.467,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.7644,0.0,0.872,0.128
0.34,0.0,0.87,0.13
-0.8268,0.554,0.446,0.0
0.5574,0.085,0.61,0.305
-0.4767,0.508,0.492,0.0
-0.6723,0.188,0.73,0.082
-0.6908,0.249,0.667,0.084
0.1655,0.043,0.9,0.056
-0.7105,0.243,0.694,0.064
0.8271,0.0,0.697,0.303
0.7906,0.101,0.67,0.228
0.25,0.103,0.69,0.207
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.1451,0.074,0.786,0.139
0.871,0.0,0.764,0.236
0.4215,0.122,0.612,0.265
0.1511,0.0,0.834,0.166
0.6486,0.167,0.603,0.23
0.4039,0.117,0.661,0.222
0.2732,0.0,0.741,0.259
0.8126,0.046,0.778,0.177
0.1531,0.0,0.729,0.271
-0.1531,0.19,0.652,0.158
0.0387,0.184,0.663,0.153
-0.5118,0.169,0.762,0.069
0.6284,0.04,0.827,0.133
-0.7772,0.265,0.656,0.079
0.8882,0.0,0.566,0.434
-0.4404,0.14,0.801,0.06
0.2263,0.0,0.84,0.16
0.3612,0.0,0.706,0.294
0.357,0.0,0.84,0.16
0.0,0.0,1.0,0.0
0.5859,0.0,0.808,0.192
-0.7003,0.209,0.791,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.25,0.235,0.606,0.159
-0.9054,0.23,0.77,0.0
0.4118,0.086,0.773,0.141
0.0,0.0,1.0,0.0
0.5719,0.0,0.748,0.252
0.0,0.0,1.0,0.0
-0.5106,0.161,0.744,0.096
-0.2732,0.069,0.889,0.042
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.1027,0.066,0.884,0.051
0.0,0.0,1.0,0.0
0.4588,0.0,0.907,0.093
0.3331,0.191,0.544,0.265
-0.8402,0.261,0.653,0.085
-0.296,0.091,0.909,0.0
-0.4767,0.383,0.617,0.0
-0.5267,0.368,0.632,0.0
-0.6249,0.16,0.787,0.052
0.359,0.039,0.873,0.089
-0.296,0.688,0.312,0.0
-0.4404,0.111,0.849,0.041
0.0,0.0,1.0,0.0
0.6682,0.097,0.717,0.186
-0.3818,0.146,0.78,0.074
-0.5267,0.093,0.907,0.0
0.2052,0.141,0.598,0.261
-0.7458,0.234,0.766,0.0
-0.2732,0.189,0.811,0.0
-0.6523,0.327,0.673,0.0
-0.1253,0.094,0.821,0.085
-0.3818,0.08,0.881,0.039
-0.0026,0.1,0.825,0.075
-0.6597,0.21,0.66,0.13
-0.0258,0.198,0.611,0.191
0.765,0.0,0.577,0.423
-0.34,0.138,0.862,0.0
-0.4404,0.293,0.707,0.0
0.5267,0.066,0.784,0.15
0.7269,0.09,0.641,0.268
-0.4404,0.182,0.818,0.0
0.8271,0.0,0.588,0.412
0.5574,0.054,0.744,0.202
0.5719,0.168,0.382,0.45
0.4404,0.0,0.633,0.367
0.8408,0.0,0.791,0.209
-0.5672,0.199,0.654,0.147
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.7876,0.0,0.633,0.367
-0.6293,0.318,0.682,0.0
-0.8287,0.233,0.712,0.055
0.0,0.0,1.0,0.0
-0.4588,0.333,0.667,0.0
0.3182,0.114,0.711,0.175
0.4404,0.0,0.58,0.42
0.0,0.0,1.0,0.0
0.9517,0.0,0.485,0.515
0.5859,0.048,0.736,0.216
0.34,0.0,0.912,0.088
0.0,0.0,1.0,0.0
-0.6124,0.5,0.5,0.0
-0.3182,0.204,0.796,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.6249,0.0,0.733,0.267
-0.6597,0.688,0.312,0.0
-0.6868,0.143,0.857,0.0
-0.5423,0.229,0.681,0.09
0.5399,0.0,0.697,0.303
-0.503,0.121,0.879,0.0
-0.6705,0.187,0.747,0.067
0.0,0.0,1.0,0.0
-0.296,0.095,0.905,0.0
-0.3818,0.301,0.515,0.184
0.0,0.0,1.0,0.0
0.4019,0.0,0.649,0.351
0.25,0.095,0.714,0.19
0.0,0.0,1.0,0.0
-0.6666,0.138,0.862,0.0
-0.7534,0.413,0.487,0.1
-0.3506,0.106,0.894,0.0
-0.7351,0.237,0.763,0.0
-0.0258,0.14,0.724,0.136
0.3612,0.0,0.8,0.2
-0.1655,0.171,0.829,0.0
0.4019,0.0,0.426,0.574
0.0,0.0,1.0,0.0
-0.4215,0.198,0.709,0.093
-0.7906,0.333,0.667,0.0
-0.5106,0.172,0.776,0.053
0.765,0.0,0.663,0.337
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0387,0.0,0.962,0.038
0.9156,0.055,0.517,0.428
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.6428,0.161,0.574,0.265
0.2617,0.098,0.738,0.163
0.0,0.0,1.0,0.0
0.5106,0.0,0.82,0.18
-0.4019,0.197,0.803,0.0
0.6486,0.0,0.739,0.261
0.6369,0.0,0.756,0.244
0.1531,0.151,0.658,0.191
0.8176,0.064,0.732,0.205
0.079,0.107,0.803,0.09
-0.6597,0.519,0.481,0.0
-0.5106,0.093,0.84,0.067
0.4926,0.0,0.61,0.39
-0.4404,0.164,0.762,0.074
0.7234,0.0,0.822,0.178
0.6124,0.0,0.75,0.25
0.7184,0.0,0.7,0.3
0.8942,0.0,0.626,0.374
0.4767,0.0,0.866,0.134
0.8126,0.074,0.75,0.175
0.4019,0.0,0.803,0.197
0.7096,0.102,0.659,0.24
-0.5574,0.223,0.714,0.062
0.4199,0.0,0.811,0.189
0.2023,0.067,0.815,0.118
0.5216,0.164,0.598,0.238
-0.4019,0.263,0.602,0.135
