word,count
mecz,269
wygrać,160
mieć,131
szwecja,112
polski,90
polska,74
grać,55
polak,55
dobry,55
zagrać,48
móc,45
musieć,42
awans,39
raz,37
krychowiak,36
rok,33
zwycięstwo,33
dzień,33
reprezentacja,31
oby,31
dać,30
grupa,30
siebie,29
ostatni,29
skład,28
nadzieja,28
wynik,28
euro,27
dzisiejszy,26
szwed,26
wyjść,23
piłkarz,22
chcieć,22
spotkanie,22
jutro,22
kibic,21
szansa,21
piękny,20
bój,20
bramka,19
