compound,negative,neutral,positive
0.0,0.0,1.0,0.0
-0.34,0.444,0.556,0.0
0.0,0.0,1.0,0.0
0.7717,0.0,0.642,0.358
0.3871,0.0,0.914,0.086
-0.6467,0.461,0.539,0.0
-0.3412,0.256,0.744,0.0
0.5106,0.0,0.751,0.249
0.3612,0.075,0.778,0.147
0.7424,0.0,0.673,0.327
0.0,0.0,1.0,0.0
0.3612,0.0,0.839,0.161
0.5994,0.0,0.782,0.218
-0.4389,0.743,0.257,0.0
0.0,0.0,1.0,0.0
-0.4767,0.256,0.744,0.0
0.4199,0.0,0.834,0.166
-0.5848,0.655,0.345,0.0
0.2732,0.0,0.741,0.259
0.3612,0.0,0.762,0.238
-0.555,0.243,0.676,0.081
0.6739,0.0,0.708,0.292
-0.2942,0.128,0.872,0.0
0.5994,0.0,0.204,0.796
0.34,0.0,0.676,0.324
0.0,0.0,1.0,0.0
0.8885,0.0,0.488,0.512
0.8316,0.0,0.405,0.595
0.6239,0.0,0.328,0.672
0.0,0.0,1.0,0.0
0.3182,0.163,0.588,0.248
-0.4912,0.313,0.687,0.0
0.5106,0.0,0.377,0.623
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.9134,0.023,0.71,0.267
-0.2263,0.16,0.84,0.0
0.3182,0.0,0.635,0.365
-0.4912,0.126,0.874,0.0
0.0,0.0,1.0,0.0
0.4215,0.0,0.781,0.219
0.0,0.0,1.0,0.0
-0.3818,0.245,0.755,0.0
0.0,0.0,1.0,0.0
-0.5815,0.239,0.761,0.0
0.2732,0.0,0.792,0.208
0.0,0.0,1.0,0.0
-0.2263,0.252,0.583,0.165
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.34,0.375,0.625,0.0
0.797,0.0,0.717,0.283
-0.4389,0.591,0.409,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.7568,0.0,0.812,0.188
0.5399,0.0,0.534,0.466
0.0,0.0,1.0,0.0
-0.3595,0.293,0.707,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.8176,0.0,0.785,0.215
0.6124,0.0,0.556,0.444
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.4199,0.0,0.823,0.177
-0.296,0.239,0.761,0.0
0.0,0.0,1.0,0.0
-0.1989,0.114,0.826,0.06
0.7458,0.068,0.689,0.243
0.0,0.0,1.0,0.0
0.5859,0.0,0.648,0.352
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.2158,0.145,0.753,0.102
0.0,0.0,1.0,0.0
-0.3987,0.282,0.607,0.111
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.5423,0.333,0.667,0.0
0.0,0.0,1.0,0.0
0.5994,0.0,0.435,0.565
0.807,0.0,0.673,0.327
-0.128,0.12,0.783,0.097
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.1779,0.108,0.892,0.0
-0.7326,0.508,0.492,0.0
0.4003,0.175,0.522,0.303
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.1531,0.0,0.932,0.068
0.0,0.0,1.0,0.0
-0.6792,0.604,0.396,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.6486,0.0,0.654,0.346
0.0,0.0,1.0,0.0
0.4404,0.0,0.847,0.153
0.0,0.0,1.0,0.0
0.2023,0.0,0.69,0.31
0.0,0.0,1.0,0.0
0.7003,0.087,0.606,0.307
0.5315,0.0,0.593,0.407
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.5859,0.0,0.725,0.275
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.5386,0.537,0.463,0.0
-0.3818,0.565,0.435,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.5469,0.114,0.616,0.27
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.4199,0.057,0.813,0.13
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.5106,0.248,0.19,0.562
-0.802,0.59,0.41,0.0
0.0,0.0,1.0,0.0
0.4767,0.176,0.4,0.424
0.126,0.107,0.772,0.121
-0.1739,0.17,0.696,0.134
0.5411,0.0,0.845,0.155
-0.34,0.545,0.455,0.0
0.0,0.0,1.0,0.0
0.0,0.187,0.625,0.187
0.0,0.0,1.0,0.0
0.2942,0.0,0.834,0.166
0.2732,0.0,0.656,0.344
0.0,0.0,1.0,0.0
0.7519,0.0,0.632,0.368
0.8306,0.053,0.735,0.212
0.0772,0.0,0.936,0.064
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.1531,0.25,0.541,0.209
0.4754,0.0,0.829,0.171
0.0,0.0,1.0,0.0
0.5374,0.0,0.669,0.331
0.5106,0.0,0.752,0.248
0.3182,0.0,0.635,0.365
0.0,0.0,1.0,0.0
0.6341,0.0,0.324,0.676
0.6808,0.0,0.741,0.259
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.7003,0.309,0.691,0.0
-0.5106,0.32,0.68,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.4199,0.0,0.518,0.482
-0.3818,0.565,0.435,0.0
0.0,0.0,1.0,0.0
0.3612,0.0,0.615,0.385
0.0516,0.21,0.511,0.278
0.3531,0.027,0.901,0.072
0.0,0.0,1.0,0.0
0.2263,0.0,0.612,0.388
-0.6093,0.265,0.735,0.0
0.6705,0.0,0.82,0.18
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.4215,0.0,0.714,0.286
-0.3818,0.565,0.435,0.0
-0.3111,0.086,0.865,0.049
0.681,0.029,0.816,0.154
-0.6124,0.571,0.429,0.0
0.0,0.0,1.0,0.0
0.7345,0.0,0.795,0.205
0.0,0.0,1.0,0.0
0.2263,0.0,0.513,0.487
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.7494,0.11,0.661,0.229
0.4926,0.12,0.7,0.18
0.0,0.0,1.0,0.0
-0.1531,0.211,0.789,0.0
-0.3818,0.565,0.435,0.0
0.3182,0.0,0.723,0.277
0.3468,0.044,0.874,0.083
0.7568,0.17,0.315,0.515
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.4019,0.278,0.722,0.0
0.0258,0.113,0.724,0.163
-0.5423,0.467,0.533,0.0
0.5972,0.0,0.607,0.393
0.0,0.0,1.0,0.0
-0.5805,0.226,0.684,0.09
0.0,0.0,1.0,0.0
-0.6476,0.682,0.318,0.0
-0.5815,0.295,0.705,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.4305,0.065,0.8,0.135
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.0772,0.075,0.925,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
