compound,negative,neutral,positive
-0.0994,0.115,0.721,0.164
-0.7184,0.171,0.829,0.0
0.3818,0.0,0.581,0.419
0.0,0.0,1.0,0.0
-0.2023,0.184,0.816,0.0
0.0,0.0,1.0,0.0
-0.5707,0.345,0.655,0.0
-0.7713,0.197,0.713,0.09
0.765,0.0,0.602,0.398
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.7269,0.0,0.827,0.173
0.0,0.0,1.0,0.0
0.7506,0.097,0.603,0.3
0.7901,0.041,0.735,0.224
0.0,0.0,1.0,0.0
0.97,0.0,0.416,0.584
0.7345,0.0,0.764,0.236
0.7579,0.07,0.723,0.207
0.0,0.0,1.0,0.0
0.0534,0.179,0.635,0.185
0.4003,0.0,0.69,0.31
-0.7609,0.249,0.681,0.07
0.4215,0.0,0.641,0.359
0.0,0.0,1.0,0.0
-0.4215,0.056,0.944,0.0
0.0,0.0,1.0,0.0
0.5562,0.0,0.893,0.107
0.5719,0.0,0.887,0.113
0.9075,0.073,0.67,0.257
0.8462,0.089,0.575,0.336
0.0,0.0,1.0,0.0
0.7319,0.045,0.803,0.152
-0.25,0.133,0.867,0.0
0.0,0.0,1.0,0.0
-0.5574,0.186,0.743,0.072
0.5719,0.0,0.213,0.787
-0.4939,0.28,0.569,0.15
0.34,0.0,0.556,0.444
-0.6114,0.312,0.688,0.0
0.4359,0.0,0.88,0.12
0.6868,0.0,0.862,0.138
0.0,0.0,1.0,0.0
0.813,0.0,0.806,0.194
0.7391,0.03,0.817,0.153
0.5859,0.048,0.827,0.125
0.4019,0.022,0.902,0.076
0.7351,0.0,0.801,0.199
0.7845,0.0,0.303,0.697
0.743,0.071,0.751,0.178
-0.5267,0.254,0.542,0.204
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.2023,0.0,0.893,0.107
0.0276,0.221,0.521,0.257
0.9426,0.0,0.623,0.377
0.2732,0.0,0.87,0.13
0.0,0.0,1.0,0.0
-0.0129,0.13,0.775,0.095
0.3365,0.115,0.708,0.176
0.8122,0.051,0.701,0.248
0.4019,0.0,0.803,0.197
0.9298,0.0,0.678,0.322
0.4939,0.0,0.814,0.186
0.4404,0.0,0.917,0.083
0.34,0.0,0.897,0.103
0.6229,0.0,0.87,0.13
0.296,0.227,0.455,0.318
-0.6988,0.162,0.838,0.0
0.0772,0.158,0.67,0.172
0.2263,0.0,0.787,0.213
0.2846,0.075,0.83,0.095
0.4019,0.0,0.748,0.252
0.7263,0.0,0.644,0.356
0.802,0.0,0.737,0.263
0.6103,0.0,0.751,0.249
0.5106,0.0,0.68,0.32
0.4404,0.0,0.58,0.42
0.0,0.0,1.0,0.0
0.4215,0.0,0.588,0.412
0.34,0.0,0.821,0.179
0.5859,0.0,0.84,0.16
0.4926,0.0,0.842,0.158
0.0,0.0,1.0,0.0
0.8312,0.025,0.798,0.177
-0.296,0.271,0.514,0.215
