word,count
k***a,1188
mieć,522
mecz,519
c**j,404
lewy,283
bramka,237
szkoda,221
gol,205
minuta,202
d,171
grać,167
polak,154
strzelić,150
szwecja,143
euro,142
móc,140
lewandowski,140
piłka,140
raz,133
krychowiak,126
chyba,110
koniec,103
przegrywać,103
polski,100
siebie,96
robert,96
reprezentacja,95
wiedzieć,90
przegrać,89
pierwszy,89
szwedzi,89
oglądać,88
polska,88
drugi,88
p******e,88
d**a,84
piłkarz,83
czas,82
niestety,79
strzelać,79
