compound,negative,neutral,positive
-0.0772,0.126,0.769,0.105
0.6361,0.0,0.656,0.344
0.8619,0.0,0.809,0.191
-0.1561,0.06,0.861,0.078
-0.3751,0.155,0.762,0.083
-0.7896,0.295,0.601,0.104
0.4404,0.0,0.775,0.225
-0.7783,0.392,0.608,0.0
0.7548,0.128,0.613,0.259
0.34,0.0,0.769,0.231
0.7579,0.0,0.8,0.2
0.0,0.0,1.0,0.0
0.25,0.0,0.882,0.118
0.0,0.0,1.0,0.0
0.9598,0.105,0.562,0.333
0.6652,0.0,0.692,0.308
0.4404,0.0,0.945,0.055
-0.1307,0.125,0.765,0.11
0.1643,0.137,0.754,0.109
0.4754,0.0,0.618,0.382
-0.2023,0.221,0.625,0.154
-0.1779,0.154,0.686,0.16
0.7964,0.0,0.664,0.336
0.967,0.076,0.538,0.386
0.3612,0.0,0.8,0.2
0.0,0.0,1.0,0.0
0.7469,0.0,0.524,0.476
0.0,0.0,1.0,0.0
0.3612,0.0,0.762,0.238
0.2244,0.0,0.921,0.079
0.7707,0.0,0.796,0.204
0.5279,0.062,0.759,0.179
0.9398,0.073,0.366,0.561
0.4404,0.0,0.707,0.293
-0.34,0.375,0.625,0.0
0.0,0.0,1.0,0.0
0.636,0.0,0.656,0.344
0.34,0.0,0.876,0.124
0.4878,0.139,0.641,0.22
-0.8885,0.275,0.725,0.0
-0.5859,0.286,0.714,0.0
-0.8717,0.198,0.802,0.0
0.119,0.131,0.708,0.161
0.7003,0.0,0.805,0.195
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.3612,0.0,0.815,0.185
0.5461,0.152,0.612,0.235
-0.0516,0.13,0.87,0.0
0.3182,0.0,0.897,0.103
0.3612,0.037,0.897,0.066
0.8652,0.0,0.768,0.232
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.7998,0.0,0.77,0.23
0.6705,0.027,0.835,0.138
0.7579,0.0,0.48,0.52
0.0,0.0,1.0,0.0
0.8122,0.0,0.714,0.286
0.5267,0.108,0.681,0.211
0.2023,0.0,0.924,0.076
0.8529,0.094,0.629,0.277
0.9072,0.036,0.681,0.283
0.4404,0.0,0.879,0.121
0.2023,0.095,0.748,0.156
0.6369,0.0,0.833,0.167
0.0,0.0,1.0,0.0
-0.5256,0.145,0.855,0.0
0.7351,0.0,0.824,0.176
-0.5147,0.221,0.669,0.11
0.6361,0.0,0.625,0.375
0.7184,0.0,0.625,0.375
0.6361,0.0,0.625,0.375
-0.1779,0.108,0.892,0.0
0.0,0.0,1.0,0.0
0.4912,0.03,0.887,0.083
0.3818,0.052,0.81,0.138
0.0,0.0,1.0,0.0
-0.5574,0.231,0.769,0.0
0.5106,0.132,0.539,0.329
0.4767,0.0,0.563,0.437
-0.1528,0.148,0.731,0.122
0.1531,0.092,0.769,0.138
0.5423,0.102,0.705,0.193
0.6124,0.112,0.704,0.184
0.0,0.0,1.0,0.0
-0.5423,0.125,0.831,0.044
-0.7777,0.228,0.659,0.113
0.6369,0.0,0.704,0.296
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.0516,0.098,0.902,0.0
-0.0516,0.098,0.902,0.0
0.0,0.0,1.0,0.0
0.8316,0.071,0.668,0.261
0.8718,0.0,0.723,0.277
-0.4215,0.318,0.682,0.0
-0.631,0.509,0.491,0.0
0.128,0.0,0.923,0.077
0.4588,0.0,0.75,0.25
0.0,0.0,1.0,0.0
0.7269,0.142,0.57,0.288
0.6597,0.0,0.722,0.278
0.8885,0.056,0.626,0.317
-0.276,0.144,0.766,0.09
-0.1531,0.211,0.789,0.0
0.5859,0.0,0.743,0.257
0.068,0.087,0.814,0.099
0.34,0.0,0.833,0.167
0.0,0.0,1.0,0.0
-0.2263,0.166,0.718,0.116
0.5207,0.0,0.921,0.079
0.6112,0.0,0.839,0.161
-0.1531,0.134,0.765,0.102
0.0,0.0,1.0,0.0
0.3832,0.136,0.667,0.198
0.8639,0.128,0.616,0.256
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.6344,0.0,0.781,0.219
-0.4767,0.154,0.846,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.0516,0.098,0.902,0.0
-0.0516,0.098,0.902,0.0
0.0,0.0,1.0,0.0
-0.3818,0.271,0.729,0.0
0.0772,0.0,0.909,0.091
0.6115,0.056,0.795,0.149
0.3182,0.103,0.71,0.187
0.0,0.0,1.0,0.0
0.3612,0.0,0.706,0.294
0.2869,0.0,0.866,0.134
0.4215,0.0,0.682,0.318
0.0,0.0,1.0,0.0
0.7351,0.0,0.839,0.161
0.8651,0.062,0.707,0.231
0.6369,0.0,0.856,0.144
0.5719,0.0,0.836,0.164
-0.1815,0.213,0.61,0.177
0.6115,0.0,0.878,0.122
0.3382,0.0,0.87,0.13
0.802,0.0,0.644,0.356
0.5859,0.0,0.884,0.116
0.2263,0.0,0.863,0.137
0.8478,0.09,0.678,0.231
0.2643,0.0,0.863,0.137
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.7461,0.147,0.82,0.033
0.3947,0.0,0.91,0.09
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.296,0.0,0.82,0.18
-0.3818,0.102,0.898,0.0
0.9042,0.0,0.603,0.397
-0.5868,0.123,0.833,0.044
0.0,0.0,1.0,0.0
0.8316,0.0,0.694,0.306
0.0258,0.202,0.588,0.21
-0.1779,0.556,0.0,0.444
0.0,0.0,1.0,0.0
0.8834,0.0,0.636,0.364
-0.8754,0.372,0.54,0.088
0.5399,0.0,0.633,0.367
-0.296,0.239,0.761,0.0
0.4404,0.0,0.909,0.091
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.587,0.0,0.89,0.11
0.7411,0.064,0.697,0.239
0.0,0.0,1.0,0.0
0.765,0.0,0.663,0.337
0.9595,0.058,0.575,0.367
0.0,0.0,1.0,0.0
0.0516,0.162,0.662,0.176
0.6239,0.0,0.663,0.337
0.0,0.0,1.0,0.0
0.2755,0.0,0.74,0.26
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.6639,0.069,0.705,0.226
0.0,0.0,1.0,0.0
0.6486,0.0,0.863,0.137
0.5574,0.0,0.867,0.133
0.0,0.348,0.227,0.424
-0.3182,0.434,0.566,0.0
0.5574,0.0,0.833,0.167
-0.126,0.103,0.897,0.0
0.2481,0.094,0.781,0.125
0.2023,0.127,0.678,0.195
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.4363,0.167,0.727,0.106
0.95,0.0,0.582,0.418
-0.4019,0.403,0.597,0.0
-0.9479,0.351,0.649,0.0
0.0,0.0,1.0,0.0
0.3737,0.187,0.571,0.243
