word,count
mecz,682
mieć,303
polski,267
hiszpania,196
polska,180
móc,138
polak,133
wygrać,121
wierzyć,105
wynik,104
reprezentacja,104
grać,103
dobry,98
nadzieja,88
skład,86
dzień,80
euro,79
jutro,75
hiszpan,74
czas,70
raz,68
zagrać,68
bój,67
wiedzieć,66
piłkarz,66
remis,66
przegrać,65
siebie,64
husaria,64
lewandowski,63
kibic,61
sous,58
dzisiejszy,58
drużyna,57
bramka,56
musieć,56
chcieć,55
szansa,55
bednarek,55
oglądać,54
