word,count
mecz,1096
mieć,676
grać,569
dobry,324
słowacja,245
pierwszy,239
wygrać,233
reprezentacja,223
krychowiak,212
móc,206
polski,205
polak,202
euro,193
polska,193
piłka,189
połowa,179
drugi,170
słowak,162
turniej,159
siebie,155
minuta,152
piłkarz,147
bramka,145
d,145
raz,142
sous,140
wiedzieć,137
honor,135
gol,133
nadzieja,131
gra,130
rok,130
drużyna,124
szczęsny,117
koniec,112
trener,104
czas,101
zagrać,100
wyglądać,100
człowiek,98
