username,content,date,userlocation,likecount,retweetcount,followers,url
Esportmania_pl,"Wsparcie dla Polaków popłynęło wczoraj zewsząd 🤩🇵🇱 #EURO2020 #ESPPOL

https://t.co/wuk9Y6QABp",2021-06-20 17:00:00+00:00,,1,0,2023,https://twitter.com/Esportmania_pl/status/1406658100577419269
MichalMoch87,"Zapraszam do sprawdzenia kulisy z meczu Hiszpania - Polska od @CionaSport 🔥‼️

Gościnnie pojawiłem się Ja 😎✌️

#eurotrop #euro #ESPPOL #HISPOL https://t.co/nURaS96CnO",2021-06-20 16:53:10+00:00,Ireland,1,1,2300,https://twitter.com/MichalMoch87/status/1406656382003187714
JerzyBroniszews,@Basia_K_S @mwolinskariedi @EURO2020 @tvp_info Ja też za to sędziowanie Włocha na meczu #ESPPOL😠,2021-06-20 16:40:02+00:00,"Katowice, Polska",2,0,1083,https://twitter.com/JerzyBroniszews/status/1406653077176963077
Twieszczu,"Wczoraj piliśmy za ważny mecz , dzisiaj pijemy za bardzo ważny, a w środę będziemy pili arcyważny 😉🇵🇱⚪🔴⚪🇵🇱 #ESPPOL #ŁKSGÓR #SWEPOL https://t.co/hT2kTuuiXM",2021-06-20 16:06:32+00:00,,494,3,39039,https://twitter.com/Twieszczu/status/1406644646529355780
Victori01111,"#ESPPOL W punkt!
Znalezione na grupie FB: Filmaster - Filmy których nie znasz. https://t.co/IXQCDF8pNL",2021-06-20 16:02:40+00:00,Warsaw,5,0,5,https://twitter.com/Victori01111/status/1406643671550808068
i_am_dawid_,A więc to tak na prawdę robił Bereszyński przy rzucie karnym dla Hiszpanów 😉😅 #ESPPOL #EURO2020 https://t.co/rmVFiDbMYj,2021-06-20 15:58:52+00:00,,6,0,1261,https://twitter.com/i_am_dawid_/status/1406642717598363648
krupos_krupos1,"@DeportesReports On tak tylko okazyjnie w towarzystwie, dla spokojności przed #ESPPOL 🤔😐🚬⛔",2021-06-20 15:51:24+00:00,Polska,0,0,179,https://twitter.com/krupos_krupos1/status/1406640836457254913
MichalMoch87,"Przeżyjmy to jeszcze raz 🇵🇱🔥‼️

Hymn Polski przed meczem z Hiszpanią podczas @EURO2020 na 
Estadio de La Cartuja. 

#eurotrop #euro #euro2020 #strefaeuro #hispol #esppol #seville https://t.co/sfp7gJ2vaa",2021-06-20 15:29:38+00:00,Ireland,26,4,2300,https://twitter.com/MichalMoch87/status/1406635358742355969
Esportmania_pl,"Kacper Kozłowski na prawdziwym boisku robi różnicę, a na tym wirtualnym? 🤔🇵🇱 #EURO2020
#ESPPOL

https://t.co/msmkMBTXJH",2021-06-20 15:00:02+00:00,,0,0,2023,https://twitter.com/Esportmania_pl/status/1406627911910625281
LaczyNasPilka,"Dziękujemy za Wasze wsparcie! 💪🇵🇱

Więcej wypowiedzi po meczu #ESPPOL znajdziesz u nas na stronie. ⤵️",2021-06-20 15:00:00+00:00,,280,5,454431,https://twitter.com/LaczyNasPilka/status/1406627903710928897
Salon24pl,"Około 300 kibiców czekało w niedzielę na polskich piłkarzy wracających z Sewilli. „Dziękujemy!” – skandowali. Nie zabrakło też życzeń: „Zróbcie Szwedom polski potop” #POLSWE #SWEPOL #POLESP #ESPPOL #EURO2020 #Euro2021  

https://t.co/CzhohNTo4b",2021-06-20 14:39:17+00:00,Polska,1,0,22625,https://twitter.com/Salon24pl/status/1406622689725399044
