word,count
mecz,705
mieć,679
grać,454
lewy,317
wygrać,316
dobry,292
bramka,285
k***a,285
nadzieja,248
d,215
minuta,212
lewandowski,209
móc,208
gol,207
polski,200
polska,200
robert,194
szwecja,192
koniec,176
polak,160
piłka,159
euro,154
dobra,151
kochać,144
reprezentacja,138
raz,134
bramkarz,134
szansa,132
wiedzieć,116
rok,109
krychowiak,109
pierwszy,108
siebie,107
strzelić,107
czas,105
drużyna,105
oglądać,104
chyba,103
prosić,101
musieć,101
